codice_scuola|classi|descrizione_indirizzo
"PIMM83901V"|4|"30 ore settimanali"
"PIMM840013"|6|"30 ore settimanali"
"PIMM84101V"|5|"30 ore settimanali"
"PIMM84202Q"|1|"30 ore settimanali"
"PIPC00101V"|1|"CLASSICO"
"PIPC00101V"|2|"SCIENTIFICO"
"PIPC00101V"|2|"SCIENZE UMANE"
"PIPC00201P"|2|"CLASSICO"
"PIPC020007"|5|"CLASSICO"
"PIPM030002"|2|"LINGUISTICO"
"PIPM030002"|3|"SCIENZE UMANE"
"PIPM030002"|1|"SCIENZE UMANE  - OPZIONE ECONOMICO SOCIALE"
"PIPM050007"|6|"LINGUISTICO"
"PIPM050007"|2|"SCIENZE UMANE"
"PIPM050007"|3|"SCIENZE UMANE  - OPZIONE ECONOMICO SOCIALE"
"PIPS00201T"|5|"SCIENTIFICO"
"PIPS00401D"|4|"SCIENTIFICO"
"PIPS00401D"|1|"SCIENTIFICO -  OPZIONE SCIENZE APPLICATE"
"PIPS00401D"|2|"LINGUISTICO"
"PIPS01000Q"|1|"SCIENTIFICO"
"PIPS01001R"|1|"SCIENZE UMANE  - OPZIONE ECONOMICO SOCIALE"
"PIPS02000A"|10|"SCIENTIFICO"
"PIPS04000G"|2|"SCIENTIFICO"
"PIPS04000G"|5|"LINGUISTICO"
"PIRH01000D"|11|"ENOGASTRONOMIA E L'OSPITALITA' ALBERGHIERA - BIENNIO  COMUNE"
"PIRH01000D"|1|"SERVIZI COMMERCIALI"
"PIRH01050V"|1|"ENOGASTRONOMIA E L'OSPITALITA' ALBERGHIERA - BIENNIO  COMUNE"
"PIRH01050V"|1|"V.O. PROF. PER I SERVIZI COMMERCIALI E TURISTICI"
"PIRI010001"|2|"SERVIZI SOCIO-SANITARI - ODONTOTECNICO"
"PIRI010001"|1|"SERVIZI SOCIO-SANITARI - OTTICO"
"PIRI010001"|3|"MANUTENZIONE E ASSISTENZA TECNICA"
"PIRI02000G"|3|"MANUTENZIONE E ASSISTENZA TECNICA"
"PIRI02000G"|2|"PRODUZIONI INDUSTRIALI E ARTIGIANALI  - BIENNIO COMUNE"
"PISD00101C"|1|"ARTISTICO NUOVO ORDINAMENTO - BIENNIO COMUNE"
"PISD05000L"|5|"ARTISTICO NUOVO ORDINAMENTO - BIENNIO COMUNE"
"PISD05001N"|2|"ARTISTICO NUOVO ORDINAMENTO - BIENNIO COMUNE"
"PITD004019"|2|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"PITD01000G"|4|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"PITD01000G"|1|"TURISMO"
"PITD03000R"|4|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"PITD03000R"|2|"TURISMO"
"PITD03000R"|3|"COSTRUZIONI, AMBIENTE E TERRITORIO - BIENNIO COMUNE"
"PITD04000B"|2|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"PITD04000B"|1|"COSTRUZIONI, AMBIENTE E TERRITORIO - BIENNIO COMUNE"
"PITD04001C"|2|"COSTRUZIONI, AMBIENTE E TERRITORIO - BIENNIO COMUNE"
"PITD04002D"|1|"ELETTRONICA ED ELETTROTECNICA - BIENNIO COMUNE"
"PITD070007"|2|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"PITD070007"|2|"TURISMO"
"PITD070007"|2|"CHIMICA, MATERIALI E BIOTECNOLOGIE - BIENNIO COMUNE"
"PITE003011"|2|"SERVIZI SOCIO-SANITARI"
"PITE003011"|3|"CHIMICA, MATERIALI E BIOTECNOLOGIE - BIENNIO COMUNE"
"PITF01000T"|4|"MECCANICA  MECCATRONICA ENERGIA - BIENNIO COMUNE"
"PITF01000T"|2|"TRASPORTI E LOGISTICA  - BIENNIO COMUNE"
"PITF01000T"|1|"ELETTRONICA ED ELETTROTECNICA - BIENNIO COMUNE"
"PITF01000T"|4|"INFORMATICA E TELECOMUNICAZIONI - BIENNIO COMUNE"
"PITF01000T"|1|"CHIMICA, MATERIALI E BIOTECNOLOGIE - BIENNIO COMUNE"
"PITF030003"|3|"MECCANICA  MECCATRONICA ENERGIA - BIENNIO COMUNE"
"PITF030003"|1|"ELETTRONICA ED ELETTROTECNICA - BIENNIO COMUNE"
"PITF030003"|3|"INFORMATICA E TELECOMUNICAZIONI - BIENNIO COMUNE"
"PITF030003"|3|"SCIENTIFICO -  OPZIONE SCIENZE APPLICATE"
"PITL00301X"|2|"AGRARIA, AGROALIMENTARE E AGROINDUSTRIA - BIENNIO COMUNE"
"PITL00301X"|2|"COSTRUZIONI, AMBIENTE E TERRITORIO - BIENNIO COMUNE"
"PNEE00502B"|1|"da 28 a 30 ore settimanali"
"PNEE00503C"|2|"da 28 a 30 ore settimanali"
"PNEE00503C"|1|"tempo pieno per 40 ore settimanali"
"PNEE00504D"|2|"da 28 a 30 ore settimanali"
"PNEE00506G"|2|"da 28 a 30 ore settimanali"
"PNEE00506G"|1|"tempo pieno per 40 ore settimanali"
"PNEE006016"|1|"da 28 a 30 ore settimanali"
"PNEE006027"|2|"da 28 a 30 ore settimanali"
"PNEE006038"|1|"da 28 a 30 ore settimanali"
"PNEE006049"|2|"tempo pieno per 40 ore settimanali"
"PNEE00605A"|1|"da 28 a 30 ore settimanali"
"PNEE007012"|2|"da 28 a 30 ore settimanali"
"PNEE007023"|2|"da 28 a 30 ore settimanali"
"PNEE007034"|2|"tempo pieno per 40 ore settimanali"
"PNEE08101X"|2|"da 28 a 30 ore settimanali"
"PNEE08101X"|1|"tempo pieno per 40 ore settimanali"
"PNEE081054"|2|"da 28 a 30 ore settimanali"
"PNEE081054"|2|"tempo pieno per 40 ore settimanali"
"PNEE11101E"|2|"da 28 a 30 ore settimanali"
"PNEE11101E"|1|"tempo pieno per 40 ore settimanali"
"PNEE11102G"|1|"da 28 a 30 ore settimanali"
"PNEE11105P"|1|"tempo pieno per 40 ore settimanali"
"PNEE111134"|1|"da 28 a 30 ore settimanali"
"PNEE111145"|1|"tempo pieno per 40 ore settimanali"
"PNEE19001G"|1|"da 28 a 30 ore settimanali"
"PNEE19002L"|1|"tempo pieno per 40 ore settimanali"
"PNEE19003N"|2|"da 28 a 30 ore settimanali"
"PNEE19005Q"|1|"da 28 a 30 ore settimanali"
"PNEE19006R"|2|"tempo pieno per 40 ore settimanali"
"PNEE19007T"|2|"da 28 a 30 ore settimanali"
"PNEE21001G"|2|"da 28 a 30 ore settimanali"
"PNEE21001G"|2|"tempo pieno per 40 ore settimanali"
"PNEE21002L"|6|"tempo pieno per 40 ore settimanali"
"PNEE21003N"|1|"da 28 a 30 ore settimanali"
"PNEE21003N"|1|"tempo pieno per 40 ore settimanali"
"PNEE21004P"|1|"tempo pieno per 40 ore settimanali"
"PNEE80801R"|1|"tempo pieno per 40 ore settimanali"
"PNEE80802T"|1|"tempo pieno per 40 ore settimanali"
"PNEE80803V"|1|"tempo pieno per 40 ore settimanali"
"PNEE80804X"|2|"tempo pieno per 40 ore settimanali"
"PNEE808051"|2|"tempo pieno per 40 ore settimanali"
"PNEE80901L"|2|"da 28 a 30 ore settimanali"
"PNEE80902N"|1|"tempo pieno per 40 ore settimanali"
"PNEE80904Q"|1|"tempo pieno per 40 ore settimanali"
"PNEE80905R"|2|"da 28 a 30 ore settimanali"
"PNEE81001R"|1|"tempo pieno per 40 ore settimanali"
"PNEE81002T"|1|"da 28 a 30 ore settimanali"
"PNEE81003V"|1|"tempo pieno per 40 ore settimanali"
"PNEE81004X"|1|"da 28 a 30 ore settimanali"
"PNEE81101L"|1|"tempo pieno per 40 ore settimanali"
"PNEE81102N"|1|"27 ore settimanali"
"PNEE81102N"|1|"tempo pieno per 40 ore settimanali"
"PNEE81103P"|2|"27 ore settimanali"
"PNEE81103P"|1|"tempo pieno per 40 ore settimanali"
"PNEE81201C"|1|"27 ore settimanali"
"PNEE81201C"|1|"tempo pieno per 40 ore settimanali"
"PNEE81204G"|1|"27 ore settimanali"
"PNEE81205L"|1|"da 28 a 30 ore settimanali"
"PNEE813018"|1|"tempo pieno per 40 ore settimanali"
"PNEE813029"|1|"tempo pieno per 40 ore settimanali"
"PNEE81303A"|1|"tempo pieno per 40 ore settimanali"
"PNEE81305C"|1|"tempo pieno per 40 ore settimanali"
"PNEE81306D"|1|"tempo pieno per 40 ore settimanali"
"PNEE814014"|2|"27 ore settimanali"
"PNEE814025"|2|"27 ore settimanali"
"PNEE81501X"|1|"da 28 a 30 ore settimanali"
"PNEE815021"|2|"da 28 a 30 ore settimanali"
"PNEE815032"|1|"da 28 a 30 ore settimanali"
"PNEE815043"|2|"da 28 a 30 ore settimanali"
"PNEE815043"|2|"tempo pieno per 40 ore settimanali"
"PNEE81601Q"|1|"tempo pieno per 40 ore settimanali"
"PNEE81602R"|1|"27 ore settimanali"
"PNEE81602R"|1|"tempo pieno per 40 ore settimanali"
"PNEE81603T"|1|"da 28 a 30 ore settimanali"
"PNEE81701G"|1|"tempo pieno per 40 ore settimanali"
"PNEE81702L"|1|"da 28 a 30 ore settimanali"
"PNEE81702L"|1|"tempo pieno per 40 ore settimanali"
"PNEE81703N"|1|"27 ore settimanali"
"PNEE81801B"|3|"da 28 a 30 ore settimanali"
"PNEE81802C"|2|"tempo pieno per 40 ore settimanali"
"PNEE81803D"|1|"da 28 a 30 ore settimanali"
"PNEE819017"|2|"27 ore settimanali"
"PNEE819028"|2|"tempo pieno per 40 ore settimanali"
"PNEE82001B"|1|"27 ore settimanali"
"PNEE82001B"|2|"tempo pieno per 40 ore settimanali"
"PNEE82002C"|2|"tempo pieno per 40 ore settimanali"
"PNEE821017"|1|"da 28 a 30 ore settimanali"
"PNEE821017"|1|"tempo pieno per 40 ore settimanali"
"PNEE821028"|1|"da 28 a 30 ore settimanali"
"PNEE821028"|1|"tempo pieno per 40 ore settimanali"
"PNEE822013"|1|"da 28 a 30 ore settimanali"
"PNEE822013"|1|"tempo pieno per 40 ore settimanali"
"PNEE822024"|1|"da 28 a 30 ore settimanali"
"PNEE822046"|1|"da 28 a 30 ore settimanali"
"PNEE822046"|1|"tempo pieno per 40 ore settimanali"
"PNEE822057"|1|"da 28 a 30 ore settimanali"
"PNEE822057"|1|"tempo pieno per 40 ore settimanali"
"PNEE82301V"|2|"da 28 a 30 ore settimanali"
"PNEE82301V"|1|"tempo pieno per 40 ore settimanali"
"PNEE82302X"|2|"da 28 a 30 ore settimanali"
"PNEE82401P"|3|"27 ore settimanali"
"PNEE82402Q"|1|"27 ore settimanali"
"PNEE82403R"|1|"27 ore settimanali"
"PNEE82501E"|2|"da 28 a 30 ore settimanali"
"PNEE82502G"|1|"da 28 a 30 ore settimanali"
"PNEE82503L"|1|"da 28 a 30 ore settimanali"
"PNEE82503L"|1|"tempo pieno per 40 ore settimanali"
"PNEE82601A"|2|"27 ore settimanali"
"PNEE82601A"|2|"tempo pieno per 40 ore settimanali"
"PNMM00400C"|6|"30 ore settimanali"
"PNMM00400C"|1|"da 31 a 33 ore settimanali"
"PNMM055009"|6|"30 ore settimanali"
"PNMM07000B"|4|"30 ore settimanali"
"PNMM07000B"|1|"tempo prolungato a 36 ore settimanali"
"PNMM07002D"|1|"tempo prolungato a 36 ore settimanali"
"PNMM15100V"|6|"30 ore settimanali"
"PNMM15100V"|1|"da 31 a 33 ore settimanali"
"PNMM15200P"|5|"30 ore settimanali"
"PNMM15300E"|6|"30 ore settimanali"
"PNMM15300E"|2|"tempo prolungato a 36 ore settimanali"
"PNMM15400A"|6|"30 ore settimanali"
"PNMM15400A"|1|"da 31 a 33 ore settimanali"
"PNMM15400A"|1|"tempo prolungato da 37 a 40 ore settimanali"
"PNMM80801Q"|4|"30 ore settimanali"
"PNMM80902L"|2|"tempo prolungato a 36 ore settimanali"
"PNMM80903N"|1|"30 ore settimanali"
"PNMM80904P"|2|"30 ore settimanali"
"PNMM81002R"|3|"30 ore settimanali"
"PNMM81101G"|3|"30 ore settimanali"
"PNMM81101G"|2|"tempo prolungato a 36 ore settimanali"
"PNMM81201B"|1|"30 ore settimanali"
"PNMM81201B"|2|"tempo prolungato a 36 ore settimanali"
"PNMM81202C"|1|"30 ore settimanali"
"PNMM813017"|1|"tempo prolungato a 36 ore settimanali"
"PNMM813017"|1|"tempo prolungato da 37 a 40 ore settimanali"
"PNMM814013"|2|"30 ore settimanali"
"PNMM814013"|1|"tempo prolungato a 36 ore settimanali"
"PNMM81501V"|6|"30 ore settimanali"
"PNMM81601P"|3|"30 ore settimanali"
"PNMM81602Q"|2|"30 ore settimanali"
"PNMM81701E"|3|"30 ore settimanali"
"PNMM81702G"|2|"30 ore settimanali"
"PNMM81801A"|4|"30 ore settimanali"
"PNMM81801A"|1|"tempo prolungato a 36 ore settimanali"
"PNMM819016"|3|"30 ore settimanali"
"PNMM82001A"|1|"30 ore settimanali"
"PNMM82001A"|1|"tempo prolungato a 36 ore settimanali"
"PNMM82002B"|2|"30 ore settimanali"
"PNMM821016"|5|"30 ore settimanali"
"PNMM822023"|6|"30 ore settimanali"
"PNMM82301T"|3|"30 ore settimanali"
"PNMM82302V"|2|"tempo prolungato a 36 ore settimanali"
"PNMM82401N"|3|"tempo prolungato a 36 ore settimanali"
"PNMM82501D"|2|"30 ore settimanali"
"PNMM82501D"|2|"tempo prolungato a 36 ore settimanali"
"PNMM826019"|5|"30 ore settimanali"
"PNPC00101B"|5|"CLASSICO"
"PNPM00201B"|2|"SCIENTIFICO"
"PNPM00201B"|2|"LINGUISTICO"
"PNPM00201B"|1|"SCIENZE UMANE  - OPZIONE ECONOMICO SOCIALE"
"PNPQ00201G"|3|"SCIENZE UMANE"
"PNPS00101E"|3|"SCIENTIFICO"
"PNPS00101E"|4|"SCIENZE UMANE"
"PNPS003016"|2|"SCIENTIFICO"
"PNPS003016"|1|"LINGUISTICO"
"PNPS010008"|8|"SCIENTIFICO"
"PNPS010008"|3|"SCIENTIFICO -  OPZIONE SCIENZE APPLICATE"
"PNPS010008"|4|"LINGUISTICO"
"PNPS060009"|3|"SCIENTIFICO"
"PNPS060009"|1|"SCIENTIFICO -  OPZIONE SCIENZE APPLICATE"
"PNPS060009"|1|"LINGUISTICO"
"PNRC00401E"|1|"SERVIZI COMMERCIALI"
"PNRC006016"|1|"SERVIZI COMMERCIALI"
"PNRC00801T"|3|"SERVIZI SOCIO-SANITARI"
"PNRC00801T"|4|"ENOGASTRONOMIA E L'OSPITALITA' ALBERGHIERA - BIENNIO  COMUNE"
"PNRC00801T"|1|"SERVIZI COMMERCIALI"
"PNRI00301B"|2|"MANUTENZIONE E ASSISTENZA TECNICA"
"PNRI00701P"|2|"SERVIZI SOCIO-SANITARI - ODONTOTECNICO"
"PNRI00701P"|2|"MANUTENZIONE E ASSISTENZA TECNICA"
"PNRI00901A"|6|"MANUTENZIONE E ASSISTENZA TECNICA"
"PNRI09000A"|3|"PRODUZIONI INDUSTRIALI E ARTIGIANALI  - BIENNIO COMUNE"
"PNRI09002C"|2|"MANUTENZIONE E ASSISTENZA TECNICA"
"PNSD020009"|4|"ARTISTICO NUOVO ORDINAMENTO - BIENNIO COMUNE"
"PNTA00401B"|4|"AGRARIA, AGROALIMENTARE E AGROINDUSTRIA - BIENNIO COMUNE"
"PNTD00601D"|2|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"PNTD007019"|4|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"PNTD05000E"|5|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"PNTF004014"|2|"MECCANICA  MECCATRONICA ENERGIA - BIENNIO COMUNE"
"PNTF009017"|2|"SISTEMA MODA - BIENNIO COMUNE"
"PNTF01000A"|4|"MECCANICA  MECCATRONICA ENERGIA - BIENNIO COMUNE"
"PNTF01000A"|3|"ELETTRONICA ED ELETTROTECNICA - BIENNIO COMUNE"
"PNTF01000A"|4|"INFORMATICA E TELECOMUNICAZIONI - BIENNIO COMUNE"
"PNTF01000A"|3|"CHIMICA, MATERIALI E BIOTECNOLOGIE - BIENNIO COMUNE"
"PNTL01000E"|4|"COSTRUZIONI, AMBIENTE E TERRITORIO - BIENNIO COMUNE"
"PNTN008013"|3|"TURISMO"
"POEE00101Q"|1|"da 28 a 30 ore settimanali"
"POEE00101Q"|2|"tempo pieno per 40 ore settimanali"
"POEE00102R"|1|"da 28 a 30 ore settimanali"
"POEE00102R"|1|"tempo pieno per 40 ore settimanali"
"POEE00103T"|1|"da 28 a 30 ore settimanali"
"POEE00103T"|1|"tempo pieno per 40 ore settimanali"
"POEE004017"|4|"27 ore settimanali"
"POEE004039"|3|"27 ore settimanali"
"POEE00602X"|1|"tempo pieno per 40 ore settimanali"
"POEE006031"|1|"27 ore settimanali"
"POEE006031"|2|"tempo pieno per 40 ore settimanali"
"POEE006042"|3|"tempo pieno per 40 ore settimanali"
"POEE006064"|1|"27 ore settimanali"
"POEE012016"|1|"27 ore settimanali"
"POEE804016"|4|"tempo pieno per 40 ore settimanali"
"POEE805012"|3|"tempo pieno per 40 ore settimanali"
"POEE80601T"|2|"tempo pieno per 40 ore settimanali"
"POEE80602V"|4|"tempo pieno per 40 ore settimanali"
"POEE80603X"|1|"tempo pieno per 40 ore settimanali"
"POEE80701N"|1|"da 28 a 30 ore settimanali"
"POEE80702P"|1|"da 28 a 30 ore settimanali"
"POEE80702P"|2|"tempo pieno per 40 ore settimanali"
"POEE80703Q"|1|"da 28 a 30 ore settimanali"
"POEE80801D"|2|"tempo pieno per 40 ore settimanali"
"POEE80802E"|3|"tempo pieno per 40 ore settimanali"
"POEE809019"|3|"tempo pieno per 40 ore settimanali"
"POEE80902A"|1|"tempo pieno per 40 ore settimanali"
"POEE81001D"|3|"tempo pieno per 40 ore settimanali"
"POEE81002E"|1|"tempo pieno per 40 ore settimanali"
"POEE811019"|2|"tempo pieno per 40 ore settimanali"
"POEE81102A"|1|"tempo pieno per 40 ore settimanali"
"POEE812015"|2|"da 28 a 30 ore settimanali"
"POEE812026"|1|"da 28 a 30 ore settimanali"
"POEE812037"|2|"da 28 a 30 ore settimanali"
"POEE813011"|2|"tempo pieno per 40 ore settimanali"
"POEE813022"|2|"da 28 a 30 ore settimanali"
"POEE813022"|1|"tempo pieno per 40 ore settimanali"
"POEE81401R"|4|"tempo pieno per 40 ore settimanali"
"POEE81402T"|2|"27 ore settimanali"
"POEE81403V"|1|"27 ore settimanali"
"POEE81501L"|1|"da 28 a 30 ore settimanali"
"POEE81501L"|4|"tempo pieno per 40 ore settimanali"
"POEE81601C"|3|"tempo pieno per 40 ore settimanali"
"POEE81602D"|2|"tempo pieno per 40 ore settimanali"
"POEE817018"|4|"tempo pieno per 40 ore settimanali"
"POEE818014"|1|"tempo pieno per 40 ore settimanali"
"POEE818025"|2|"tempo pieno per 40 ore settimanali"
"POEE81901X"|2|"tempo pieno per 40 ore settimanali"
"POEE819021"|2|"tempo pieno per 40 ore settimanali"
"POEE819032"|1|"tempo pieno per 40 ore settimanali"
"POEE819043"|2|"tempo pieno per 40 ore settimanali"
"POMM005001"|9|"30 ore settimanali"
"POMM01000C"|2|"30 ore settimanali"
"POMM018003"|4|"30 ore settimanali"
"POMM018003"|3|"tempo prolungato a 36 ore settimanali"
"POMM804015"|6|"30 ore settimanali"
"POMM805011"|6|"30 ore settimanali"
"POMM80601R"|5|"30 ore settimanali"
"POMM80701L"|4|"da 31 a 33 ore settimanali"
"POMM80701L"|4|"tempo prolungato a 36 ore settimanali"
"POMM80801C"|5|"30 ore settimanali"
"POMM809018"|2|"30 ore settimanali"
"POMM809018"|1|"tempo prolungato a 36 ore settimanali"
"POMM81001C"|5|"30 ore settimanali"
"POMM811018"|1|"30 ore settimanali"
"POMM811018"|1|"tempo prolungato a 36 ore settimanali"
"POMM812014"|5|"30 ore settimanali"
"POMM812014"|1|"tempo prolungato a 36 ore settimanali"
"POMM81301X"|3|"tempo prolungato a 36 ore settimanali"
"POMM81401Q"|2|"30 ore settimanali"
"POMM81401Q"|4|"tempo prolungato a 36 ore settimanali"
"POMM81501G"|7|"30 ore settimanali"
"POMM81601B"|3|"30 ore settimanali"
"POMM81601B"|2|"tempo prolungato a 36 ore settimanali"
"POMM817017"|6|"30 ore settimanali"
"POMM818013"|8|"30 ore settimanali"
"POMM81901V"|3|"30 ore settimanali"
"POPC001014"|3|"CLASSICO"
"POPC02000C"|1|"CLASSICO"
"POPM001018"|6|"SCIENZE UMANE"
"POPM001018"|3|"SCIENZE UMANE  - OPZIONE ECONOMICO SOCIALE"
"POPS002013"|4|"SCIENTIFICO"
"POPS002013"|3|"SCIENTIFICO -  OPZIONE SCIENZE APPLICATE"
"POPS00301V"|4|"SCIENTIFICO"
"POPS00301V"|4|"LINGUISTICO"
"POPS010001"|1|"CLASSICO EUROPEO/ INTERNAZIONALE"
"POPS010001"|1|"SCIENTIFICO"
"POPS02000G"|8|"SCIENTIFICO"
"POPS02000G"|4|"LINGUISTICO"
"PORC01000D"|2|"SERVIZI SOCIO-SANITARI"
"PORC01000D"|10|"ENOGASTRONOMIA E L'OSPITALITA' ALBERGHIERA - BIENNIO  COMUNE"
"PORC01000D"|4|"SERVIZI COMMERCIALI"
"PORC01002G"|1|"SERVIZI COMMERCIALI"
"PORI010006"|5|"MANUTENZIONE E ASSISTENZA TECNICA"
"POSD003019"|5|"ARTISTICO NUOVO ORDINAMENTO - BIENNIO COMUNE"
"POTD00201V"|7|"TURISMO"
"POTD01000R"|7|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"POTD01001T"|1|"V.O. TECNICO COMMERCIALE"
"POTF010003"|4|"MECCANICA  MECCATRONICA ENERGIA - BIENNIO COMUNE"
"POTF010003"|4|"ELETTRONICA ED ELETTROTECNICA - BIENNIO COMUNE"
"POTF010003"|2|"INFORMATICA E TELECOMUNICAZIONI - BIENNIO COMUNE"
"POTF010003"|4|"CHIMICA, MATERIALI E BIOTECNOLOGIE - BIENNIO COMUNE"
"POTF010003"|2|"SISTEMA MODA - BIENNIO COMUNE"
"POTL002019"|4|"COSTRUZIONI, AMBIENTE E TERRITORIO - BIENNIO COMUNE"
"PREE01601L"|4|"27 ore settimanali"
"PREE020018"|2|"27 ore settimanali"
"PREE020018"|3|"tempo pieno per 40 ore settimanali"
"PREE020029"|2|"tempo pieno per 40 ore settimanali"
"PREE07501C"|1|"da 28 a 30 ore settimanali"
"PREE07501C"|2|"tempo pieno per 40 ore settimanali"
"PREE07502D"|1|"27 ore settimanali"
"PREE07502D"|1|"da 28 a 30 ore settimanali"
"PREE07502D"|2|"tempo pieno per 40 ore settimanali"
"PREE07504G"|1|"tempo pieno per 40 ore settimanali"
"PREE805015"|1|"27 ore settimanali"
"PREE805026"|1|"27 ore settimanali"
"PREE805037"|2|"27 ore settimanali"
"PREE806011"|1|"da 28 a 30 ore settimanali"
"PREE806022"|1|"27 ore settimanali"
"PREE806022"|1|"tempo pieno per 40 ore settimanali"
"PREE806033"|1|"27 ore settimanali"
"PREE80701R"|2|"27 ore settimanali"
"PREE80701R"|2|"tempo pieno per 40 ore settimanali"
"PREE80801L"|1|"da 28 a 30 ore settimanali"
"PREE80803P"|4|"27 ore settimanali"
"PREE80803P"|1|"tempo pieno per 40 ore settimanali"
"PREE80901C"|1|"27 ore settimanali"
"PREE80902D"|2|"27 ore settimanali"
"PREE80903E"|1|"27 ore settimanali"
"PREE80904G"|1|"27 ore settimanali"
"PREE80905L"|1|"27 ore settimanali"
"PREE81001L"|1|"tempo pieno per 40 ore settimanali"
"PREE81003P"|1|"da 28 a 30 ore settimanali"
"PREE81004Q"|1|"da 28 a 30 ore settimanali"
"PREE81005R"|1|"da 28 a 30 ore settimanali"
"PREE81006T"|1|"da 28 a 30 ore settimanali"
"PREE812018"|2|"tempo pieno per 40 ore settimanali"
"PREE812029"|1|"tempo pieno per 40 ore settimanali"
"PREE81203A"|1|"da 28 a 30 ore settimanali"
"PREE813014"|1|"27 ore settimanali"
"PREE813014"|2|"tempo pieno per 40 ore settimanali"
"PREE813036"|1|"tempo pieno per 40 ore settimanali"
"PREE813047"|1|"27 ore settimanali"
"PREE813047"|1|"tempo pieno per 40 ore settimanali"
"PREE81401X"|2|"27 ore settimanali"
"PREE81401X"|2|"tempo pieno per 40 ore settimanali"
"PREE814021"|2|"27 ore settimanali"
"PREE81501Q"|1|"tempo pieno per 40 ore settimanali"
"PREE81502R"|1|"27 ore settimanali"
"PREE81503T"|1|"da 28 a 30 ore settimanali"
"PREE815083"|1|"27 ore settimanali"
"PREE815083"|1|"tempo pieno per 40 ore settimanali"
"PREE81601G"|1|"tempo pieno per 40 ore settimanali"
"PREE81603N"|1|"tempo pieno per 40 ore settimanali"
"PREE81604P"|1|"tempo pieno per 40 ore settimanali"
"PREE81605Q"|1|"tempo pieno per 40 ore settimanali"
"PREE81606R"|1|"tempo pieno per 40 ore settimanali"
"PREE81607T"|1|"tempo pieno per 40 ore settimanali"
"PREE81702C"|1|"tempo pieno per 40 ore settimanali"
"PREE81705G"|1|"da 28 a 30 ore settimanali"
"PREE81706L"|1|"da 28 a 30 ore settimanali"
"PREE818017"|2|"27 ore settimanali"
"PREE818028"|1|"tempo pieno per 40 ore settimanali"
"PREE819024"|4|"27 ore settimanali"
"PREE819024"|1|"tempo pieno per 40 ore settimanali"
"PREE820017"|3|"24 ore settimanali"
"PREE820017"|2|"tempo pieno per 40 ore settimanali"
"PREE820039"|1|"24 ore settimanali"
"PREE820039"|1|"da 28 a 30 ore settimanali"
"PREE821024"|1|"da 28 a 30 ore settimanali"
"PREE821024"|1|"tempo pieno per 40 ore settimanali"
"PREE82201V"|2|"da 28 a 30 ore settimanali"
"PREE82202X"|1|"da 28 a 30 ore settimanali"
"PREE822031"|1|"da 28 a 30 ore settimanali"
"PREE82301P"|2|"da 28 a 30 ore settimanali"
"PREE82301P"|1|"tempo pieno per 40 ore settimanali"
"PREE82303R"|2|"da 28 a 30 ore settimanali"
"PREE82304T"|1|"da 28 a 30 ore settimanali"
"PREE82304T"|1|"tempo pieno per 40 ore settimanali"
"PREE82305V"|1|"da 28 a 30 ore settimanali"
"PREE82401E"|2|"da 28 a 30 ore settimanali"
"PREE82401E"|2|"tempo pieno per 40 ore settimanali"
"PREE82403L"|1|"tempo pieno per 40 ore settimanali"
"PREE82501A"|1|"27 ore settimanali"
"PREE82501A"|3|"tempo pieno per 40 ore settimanali"
"PREE826016"|1|"27 ore settimanali"
"PREE826016"|1|"tempo pieno per 40 ore settimanali"
"PREE826027"|1|"da 28 a 30 ore settimanali"
"PREE826038"|2|"tempo pieno per 40 ore settimanali"
"PREE827012"|4|"27 ore settimanali"
"PREE82801T"|1|"27 ore settimanali"
"PREE82801T"|3|"tempo pieno per 40 ore settimanali"
"PREE82803X"|1|"tempo pieno per 40 ore settimanali"
"PREE82904R"|1|"27 ore settimanali"
"PREE82904R"|2|"tempo pieno per 40 ore settimanali"
"PREE82905T"|1|"tempo pieno per 40 ore settimanali"
"PREE83001T"|1|"27 ore settimanali"
"PREE83001T"|1|"da 28 a 30 ore settimanali"
"PREE83003X"|1|"da 28 a 30 ore settimanali"
"PREE830041"|1|"da 28 a 30 ore settimanali"
"PREE830041"|1|"tempo pieno per 40 ore settimanali"
"PREE83201D"|2|"tempo pieno per 40 ore settimanali"
"PREE83202E"|1|"tempo pieno per 40 ore settimanali"
"PREE83203G"|1|"da 28 a 30 ore settimanali"
"PREE833019"|2|"27 ore settimanali"
"PREE833019"|1|"tempo pieno per 40 ore settimanali"
"PREE83302A"|1|"27 ore settimanali"
"PREE83302A"|3|"tempo pieno per 40 ore settimanali"
"PREE834015"|2|"da 28 a 30 ore settimanali"
"PREE834015"|2|"tempo pieno per 40 ore settimanali"
